cod_ibge_7d;cod_datasus_6d;municipio;populacao_2024
3524709;352470;Jaguariúna;618010
3524808;352480;Jales;500170
3524907;352490;Jambeiro;65750
3525003;352500;Jandira;1219880
3525102;352510;Jardinópolis;468680
3525201;352520;Jarinu;395310
3525300;352530;Jaú;1373230
3525409;352540;Jeriquara;39760
3525508;352550;Joanópolis;130950
3525607;352560;João Ramalho;44560
3525706;352570;José Bonifácio;378590
3525805;352580;Júlio Mesquita;43080
3525854;352585;Jumirim;31230
3525904;352590;Jundiaí;4603130
3526001;352600;Junqueirópolis;208780
3526100;352610;Juquiá;172550
3526209;352620;Juquitiba;280070
3526308;352630;Lagoinha;51820
3526407;352640;Laranjal Paulista;270090
3526506;352650;Lavínia;99090
3526605;352660;Lavrinhas;73280
3526704;352670;Leme;1013160
3526803;352680;Lençóis Paulista;683950
3526902;352690;Limeira;3007280
3527009;352700;Lindóia;71470
3527108;352710;Lins;767290
3527207;352720;Lorena;873700
3527256;352725;Lourdes;19680
3527306;352730;Louveira;541110
3527405;352740;Lucélia;203720
3527504;352750;Lucianópolis;24190
3527603;352760;Luís Antônio;125310
3527702;352770;Luiziânia;47510
3527801;352780;Lupércio;40170
3527900;352790;Lutécia;26990
3528007;352800;Macatuba;171200
3528106;352810;Macaubal;75870
3528205;352820;Macedônia;40480
3528304;352830;Magda;32120
3528403;352840;Mairinque;516600
3528502;352850;Mairiporã;973990
3528601;352860;Manduri;100920
3528700;352870;Marabá Paulista;46270
3528809;352880;Maracaí;128260
3528858;352885;Marapoama;33920
3528908;352890;Mariápolis;35390
3529005;352900;Marília;2466270
3529104;352910;Marinópolis;18700
3529203;352920;Martinópolis;252990
3529302;352930;Matão;809980
3529401;352940;Mauá;4293800
3529500;352950;Mendonça;63690
3529609;352960;Meridiano;46970
3529658;352965;Mesópolis;19880
3529708;352970;Miguelópolis;196550
3529807;352980;Mineiros do Tietê;113490
3529906;352990;Miracatu;186790
3530003;353000;Mira Estrela;31990
3530102;353010;Mirandópolis;287370
3530201;353020;Mirante do Paranapanema;160690
3530300;353030;Mirassol;654850
3530409;353040;Mirassolândia;47710
3530508;353050;Mococa;693240
3530607;353060;Mogi das Cruzes;4681200
3530706;353070;Mogi Guaçu;1597350
3530805;353080;Mogi Mirim;955340
3530904;353090;Mombuca;38150
3531001;353100;Monções;19540
3531100;353110;Mongaguá;645190
3531209;353120;Monte Alegre do Sul;88730
3531308;353130;Monte Alto;487250
3531407;353140;Monte Aprazível;226500
3531506;353150;Monte Azul Paulista;183630
3531605;353160;Monte Castelo;43010
3531704;353170;Monteiro Lobato;42050
3531803;353180;Monte Mor;672960
3531902;353190;Morro Agudo;285610
3532009;353200;Morungaba;140810
3532058;353205;Motuca;40790
3532108;353210;Murutinga do Sul;37630
3532157;353215;Nantes;26990
3532207;353220;Narandiba;59080
3532306;353230;Natividade da Serra;71340
3532405;353240;Nazaré Paulista;186200
3532504;353250;Neves Paulista;99210
3532603;353260;Nhandeara;99440
3532702;353270;Nipoã;48600
3532801;353280;Nova Aliança;68580
3532827;353282;Nova Campina;86310
3532843;353284;Nova Canaã Paulista;20580
3532868;353286;Nova Castilho;10740
3532900;353290;Nova Europa;94590
3533007;353300;Nova Granada;197250
3533106;353310;Nova Guataporanga;21880
3533205;353320;Nova Independência;47950
3533254;353325;Novais;44690
3533304;353330;Nova Luzitânia;28380
3533403;353340;Nova Odessa;642280
3533502;353350;Novo Horizonte;394350
3533601;353360;Nuporanga;75500
3533700;353370;Ocauçu;44120
3533809;353380;Óleo;25400
3533908;353390;Olímpia;567010
3534005;353400;Onda Verde;49120
3534104;353410;Oriente;61800
3534203;353420;Orindiúva;61450
3534302;353430;Orlândia;391930
3534401;353440;Osasco;7569520
3534500;353450;Oscar Bressane;25040
3534609;353460;Osvaldo Cruz;320990
3534708;353470;Ourinhos;1068770
3534757;353475;Ouroeste;105960
3534807;353480;Ouro Verde;79010
3534906;353490;Pacaembu;152170
3535002;353500;Palestina;116890
3535101;353510;Palmares Paulista;97090
3535200;353520;Palmeira d'Oeste;89940
3535309;353530;Palmital;197670
3535408;353540;Panorama;152140
3535507;353550;Paraguaçu Paulista;420870
3535606;353560;Paraibuna;179500
3535705;353570;Paraíso;62110
3535804;353580;Paranapanema;197990
3535903;353590;Paranapuã;41110
3536000;353600;Parapuã;107290
3536109;353610;Pardinho;73820
3536208;353620;Pariquera-Açu;195760
3536257;353625;Parisi;30010
3536307;353630;Patrocínio Paulista;148370
3536406;353640;Paulicéia;82000
3536505;353650;Paulínia;1156900
3536570;353657;Paulistânia;21460
3536604;353660;Paulo de Faria;74300
3536703;353670;Pederneiras;462230
3536802;353680;Pedra Bela;67180
3536901;353690;Pedranópolis;28480
3537008;353700;Pedregulho;157420
3537107;353710;Pedreira;443320
3537156;353715;Pedrinhas Paulista;28380
3537206;353720;Pedro de Toledo;115390
3537305;353730;Penápolis;633170
3537404;353740;Pereira Barreto;243890
3537503;353750;Pereiras;89690
3537602;353760;Peruíbe;705430
3537701;353770;Piacatu;56230
3537800;353780;Piedade;542370
3537909;353790;Pilar do Sul;284170
3538006;353800;Pindamonhangaba;1720270
3538105;353810;Pindorama;147210
3538204;353820;Pinhalzinho;156050
3538303;353830;Piquerobi;32960
3538501;353850;Piquete;125700
3538600;353860;Piracaia;267640
3538709;353870;Piracicaba;4388270
3538808;353880;Piraju;302610
3538907;353890;Pirajuí;227430
3539004;353900;Pirangi;110760
3539103;353910;Pirapora do Bom Jesus;188360
3539202;353920;Pirapozinho;260650
3539301;353930;Pirassununga;754750
3539400;353940;Piratininga;155540
3539509;353950;Pitangueiras;344160
3539608;353960;Planalto;44540
3539707;353970;Platina;30610
3539806;353980;Poá;1064310
3539905;353990;Poloni;56960
3540002;354000;Pompéia;205120
3540101;354010;Pongaí;34430
3540200;354020;Pontal;383760
3540259;354025;Pontalinda;41960
3540309;354030;Pontes Gestal;24150
3540408;354040;Populina;41850
3540507;354050;Porangaba;107730
3540606;354060;Porto Feliz;583450
3540705;354070;Porto Ferreira;539400
3540754;354075;Potim;207670
3540804;354080;Potirendaba;189940
3540853;354085;Pracinha;25990
3540903;354090;Pradópolis;173090
3541000;354100;Praia Grande;3655770
3541059;354105;Pratânia;52460
3541109;354110;Presidente Alves;38410
3541208;354120;Presidente Bernardes;147720
3541307;354130;Presidente Epitácio;403830
3541406;354140;Presidente Prudente;2340830
3541505;354150;Presidente Venceslau;359020
3541604;354160;Promissão;359910
3541653;354165;Quadra;34720
3541703;354170;Quatá;133990
3541802;354180;Queiroz;33510
3541901;354190;Queluz;91460
3542008;354200;Quintana;72250
3542107;354210;Rafard;91330
3542206;354220;Rancharia;293050
3542305;354230;Redenção da Serra;46110
3542404;354240;Regente Feijó;205650
3542503;354250;Reginópolis;78080
3542602;354260;Registro;617320
3542701;354270;Restinga;64920
3542800;354280;Ribeira;31660
3542909;354290;Ribeirão Bonito;110790
3543006;354300;Ribeirão Branco;189300
3543105;354310;Ribeirão Corrente;47060
3543204;354320;Ribeirão do Sul;47680
3543238;354323;Ribeirão dos Índios;20450
3543253;354325;Ribeirão Grande;75700
3543303;354330;Ribeirão Pires;1188770
3543402;354340;Ribeirão Preto;7284000
3543501;354350;Riversul;56470
3543600;354360;Rifaina;41580
3543709;354370;Rincão;91450
3543808;354380;Rinópolis;93570
3543907;354390;Rio Claro;2088570
3544004;354400;Rio das Pedras;322670
3544103;354410;Rio Grande da Serra;453170
3544202;354420;Riolândia;104530
3544251;354425;Rosana;175330
3544301;354430;Roseira;110950
3544400;354440;Rubiácea;27410
3544509;354450;Rubinéia;39650
3544608;354460;Sabino;51850
3544707;354470;Sagres;25190
3544806;354480;Sales;66120
3544905;354490;Sales Oliveira;116540
3545001;354500;Salesópolis;153960
3545100;354510;Salmourão;48830
3545159;354515;Saltinho;83710
3545209;354520;Salto;1401250
3545308;354530;Salto de Pirapora;451380
3545407;354540;Salto Grande;92120
3545506;354550;Sandovalina;36990
3545605;354560;Santa Adélia;142030
3545704;354570;Santa Albertina;65430
3545803;354580;Santa Bárbara d'Oeste;1893380
3546009;354600;Santa Branca;142120
3546108;354610;Santa Clara d'Oeste;26770
3546207;354620;Santa Cruz da Conceição;43650
3546256;354625;Santa Cruz da Esperança;21620
3546306;354630;Santa Cruz das Palmeiras;295250
3546405;354640;Santa Cruz do Rio Pardo;476770
3546504;354650;Santa Ernestina;62560
3546603;354660;Santa Fé do Sul;360980
3546702;354670;Santa Gertrudes;241070
3546801;354680;Santa Isabel;545860
3546900;354690;Santa Lúcia;71810
3547007;354700;Santa Maria da Serra;53140
3547106;354710;Santa Mercedes;30120
3547205;354720;Santana da Ponte Pensa;16980
3547304;354730;Santana de Parnaíba;1623410
3547403;354740;Santa Rita d'Oeste;27900
3547502;354750;Santa Rita do Passa Quatro;250600
3547601;354760;Santa Rosa de Viterbo;237250
3547650;354765;Santa Salete;16860
3547700;354770;Santo Anastácio;180450
3547809;354780;Santo André;7787110
3547908;354790;Santo Antônio da Alegria;69170
3548005;354800;Santo Antônio de Posse;237790
3548054;354805;Santo Antônio do Aracanguá;85680
3548104;354810;Santo Antônio do Jardim;62370
3548203;354820;Santo Antônio do Pinhal;72940
3548302;354830;Santo Expedito;30630
3548401;354840;Santópolis do Aguapeí;39330
3548500;354850;Santos;4295670
3548609;354860;São Bento do Sapucaí;119480
3548708;354870;São Bernardo do Campo;8404990
3548807;354880;São Caetano do Sul;1721090
3548906;354890;São Carlos;2652940
3549003;354900;São Francisco;26290
3549102;354910;São João da Boa Vista;957620
3549201;354920;São João das Duas Pontes;26220
3549250;354925;São João de Iracema;18800
3549300;354930;São João do Pau d'Alho;22880
3549409;354940;São Joaquim da Barra;498150
3549508;354950;São José da Bela Vista;76900
3549607;354960;São José do Barreiro;38980
3549706;354970;São José do Rio Pardo;534160
3549805;354980;São José do Rio Preto;5015970
3549904;354990;São José dos Campos;7247560
3549953;354995;São Lourenço da Serra;164580
3550001;355000;São Luiz do Paraitinga;104970
3550100;355010;São Manuel;381660
3550209;355020;São Miguel Arcanjo;329040
3550308;355030;São Paulo;118955780
3550407;355040;São Pedro;397250
3550506;355050;São Pedro do Turvo;73330
3550605;355060;São Roque;813420
3550704;355070;São Sebastião;840190
3550803;355080;São Sebastião da Grama;104840
3550902;355090;São Simão;135900
3551009;355100;São Vicente;3384070
3551108;355110;Sarapuí;106320
3551207;355120;Sarutaiá;37690
3551306;355130;Sebastianópolis do Sul;31870
3551405;355140;Serra Azul;130580
3551504;355150;Serrana;454080
3551603;355160;Serra Negra;309200
3551702;355170;Sertãozinho;1316000
3551801;355180;Sete Barras;129120
3551900;355190;Severínia;147240
3552007;355200;Silveiras;63130
3552106;355210;Socorro;414050
3552205;355220;Sorocaba;7574590
3552304;355230;Sud Mennucci;74660
3552403;355240;Sumaré;2897870
3552502;355250;Suzano;3187650
3552551;355255;Suzanápolis;34640
3552601;355260;Tabapuã;114990
3552700;355270;Tabatinga;149940
3552809;355280;Taboão da Serra;2842740
3552908;355290;Taciba;63990
3553005;355300;Taguaí;130060
3553104;355310;Taiaçu;57510
3553203;355320;Taiúva;67330
3553302;355330;Tambaú;216820
3553401;355340;Tanabi;260210
3553500;355350;Tapiraí;81220
3553609;355360;Tapiratiba;119360
3553658;355365;Taquaral;26520
3553708;355370;Taquaritinga;533220
3553807;355380;Taquarituba;248630
3553856;355385;Taquarivaí;71120
3553906;355390;Tarabai;66350
3553955;355395;Tarumã;152480
3554003;355400;Tatuí;1285600
3554102;355410;Taubaté;3212980
3554201;355420;Tejupá;41420
3554300;355430;Teodoro Sampaio;225590
3554409;355440;Terra Roxa;79850
3554508;355450;Tietê;386900
3554607;355460;Timburi;24900
3554656;355465;Torre de Pedra;20630
3554706;355470;Torrinha;94840
3554755;355475;Trabiju;17190
3554805;355480;Tremembé;530830
3554904;355490;Três Fronteiras;70130
3554953;355495;Tuiuti;69470
3555000;355500;Tupã;654160
3555109;355510;Tupi Paulista;162060
3555208;355520;Turiúba;18390
3555307;355530;Turmalina;16720
3555356;355535;Ubarana;54560
3555406;355540;Ubatuba;965980
3555505;355550;Ubirajara;52650
3555604;355560;Uchoa;106270
3555703;355570;União Paulista;16280
3555802;355580;Urânia;89730
3555901;355590;Uru;14190
3556008;355600;Urupês;140380
3556107;355610;Valentim Gentil;145310
3556206;355620;Valinhos;1312770
3556305;355630;Valparaíso;247230
3556354;355635;Vargem;108050
3556404;355640;Vargem Grande do Sul;412260
3556453;355645;Vargem Grande Paulista;521030
3556503;355650;Várzea Paulista;1195760
3556602;355660;Vera Cruz;102940
3556701;355670;Vinhedo;792350
3556800;355680;Viradouro;176810
3556909;355690;Vista Alegre do Alto;83270
3556958;355695;Vitória Brasil;18260
3557006;355700;Votorantim;1328490
3557105;355710;Votuporanga;1001590
3557154;355715;Zacarias;27610
3557204;355720;Chavantes;124110
3557303;355730;Estiva Gerbi;115660
